year,code,title,genre,directors,actors,story,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,19436,007 북경특급 2,코미디, 액션,주성치, 곡덕소,주성치,옛날 중국에선 황제의 보위를 위해 비밀 훈련을 받은 네 인물을 뽑아 보룡일족이라고 불렀다. 보룡일족 네 사람인 공, 희, 발, 제 네사람 중 공, 희, 제는 무술에 관한한 나라안의 최고 귀재였지만 발만은 무술에는 문외한이다. 원래 지방의 의사였던 발은 머리를 짜내 황제에게 바칠 발명품들을 만들어냈다. 암행어사 마패모양의 자석 방어기구와 황제를 위한 초대형 선풍기가 그것. 그러나 황상은 그를 중히 여기지 않고, 다만 발에게 신분을 숨기고 민심을 살피는 임무를 주는데……,,,,,,,,,,,,,,,,,,,,,,,,
2014,131448,2014 드라마 페스티벌 - 하우스, 메이트,,,윤현민, 남규리, 고보결,아내와 친구로부터 배신당한 깊은 상처로 힘들어하는 남자와 그 남자의 앞에 어느 날 등대처럼 나타나 길잡이가 되어주는 여자의 이야기를 그린 드라마,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,129371,2014 드라마 페스티벌 - 형영당 일기,,이재진,이재윤, 임주환, 이원근,좌포청 종사관인 철주가 쇠락한 기방에서 독살된 채 발견된 젊은 남자의 시신을 수사하게 되면서 일어나는 이야기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,125723,2014 미스 섹시백,,,,대한민국 최고의 뒤태 미녀를 찾아라!   2014 Miss Sexy Back 선발대회,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,127716,2014 베를린 필하모닉 발트뷔네 콘서트,공연실황,,구스타보 두다멜,‘숲의 무대’라는 의미를 가진 베를린의 발트뷔네는 유럽에서 가장 매혹적인 야외 원형극장 중 하나이며, 매년 베를린 필하모닉의 여름콘서트가 개최되는 곳이기도 하다. 전통적으로 한 시즌을 마무리하는 공연인 발트뷔네 야외 콘서트는 매년 6월 마지막 일요일에 약 2만여 명의 관중과 함께 한다. 올해는 구스타프 두다멜의 지휘로 차이코프스키가 셰익스피어의 연극, 템페스트와 로미오와 줄리엣에서 영감을 받아 작곡한 교향곡 판타지아와 서곡 판타지를 선보이다. 세 번째 곡은 요하네스 브람스의 교향곡 1번으로 차이코프스키의 음악과는 전혀 다른 매력을 느낄 수 있다.     프로그램    표트르 일리치 차이코프스키 | 템페스트, 교향적 환상곡 / 로미오와 줄리엣, 환상 서곡  Piotr Ilyich Tchaikovsky | The Tempest, Symphonic Fantasy after Shakespeare / Romeo and Juliet, Fantasy Overture after Shakespeare    요하네스 브람스 | 교향곡 제 1번  Johannes Brahms | Symphony No. 1 in C minor     레너드 번스타인 | 왈츠 디베르디멘토  Leonard Bernstein | Divertimento, Walzer 왈츠 디베르디멘토    조아키노 로시니 | 윌리엄 텔 서곡 - 알레그로 비바체  Gioacchino Rossini | William Tell Overture - Allegro Vivace     파울 링케 | 베를린의 공기  Paul Lincke | Berliner Luft,,,,,,,,,,,,,,,,,,,,,,,,,
2014,122030,2014 베를린 필하모닉 유로파 콘서트,공연실황,,다니엘 바렌보임,베를린 필하모닉의 창립일을 기념하며 시작된 유로파 콘서트는 발트뷔네 콘서트와 더불어 베를린 필하모닉을 대표하는 양대 이벤트로 수많은 음악애호가들의 열렬한 사랑을 받고 있다. 1991년부터 매년 5월 1일 유럽의 명승지를 순회하는 유로파 콘서트는 그 동안 프라하, 마드리드, 런던, 피렌체, 상트페테르부르그, 베르사이유, 스톡홀름, 베를린, 이스탄불, 리스본, 아테네, 부다페스트, 모스크바, 나폴리, 비엔나 등의 유럽 주요 도시를 순회하며 연주해 왔다. 2014년 베를린에서 열리는 유로파 콘서트는 다니엘 바렌보임이 지휘를 맡는다. 그동안 클라우디오 아바도(1991,1994,1996,1998,2000, 2002), 다니엘 바렌보임(1992, 1997), 베르나르트 하이팅크(1993, 1999), 주빈 메타(1995), 마리스 얀손스(2001), 피에르 불레즈(2003), 사이먼 래틀(2004, 2005) 등이 베를린 유로파 콘서트의 지휘자로 선정되었다.    프로그램  Otto Nicolai ············· Overture to Die lustigen Weiber von Windsor (The Merry Wives of Windsor  오토 니콜라이 ············· 윈저의 즐거운 아낙네들  Edward Elgar ············· Falstaff, symphonic study in C minor, Op. 68  에드워드 엘가 ············· 팔스타프 C minor, Op. 68  Piotr Tchaikovsky ············· Symphony No. 5 in E minor, Op. 64  표트르 차이코프스키 ············· 교향곡 5번  오케스트라: 베를린 필하모닉 (Berliner Philharmoniker)  콘서트홀: 베를린 필하모니아 (Berliner Philharmonia)
2014,118645,2014 베를린필하모닉 신년음악회,공연실황,사이먼 래틀,,베를린 필하모니아홀에서 울려 퍼지는 흥겨운 리듬의 무곡과 피아노 협주곡.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,126522,2014 브라질월드컵 특집,,,,공은 어디로든 굴러간다. 하지만 감독은 그 공의 방향을 안내하고, 선수는 공을 직접 다루며, 팬들은 그 공의 움직임을 본다. 축구는 이 둥근 공을 둘러싼 전쟁이다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,124924,2014 빈필하모닉 여름음악회,,,크리스토프 에센바흐, 랑랑,빈필하모닉 여름음악회는 매년 5월 말 여름의 시작을 알리며, 오스트리아 빈의 가장 대표적인 건축물이자 로코코 양식의 최대 걸작이라 불리는 쉔부른 궁전 앞에서 펼쳐진다.   조명과 별빛이 하나의 장관을 이루며 시민과 관광객 등 10만여 명이 함께 즐기는 지상 최대의 클래식 여름음악회이다. 올해는 마에스트로 크리스토프 에센바흐가 지휘하고, 랑랑이 특별게스트로 출연한다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,118646,2014 빈필하모닉신년음악회,공연실황,다니엘 바렌보임,,빈 신년음악회는 오스트리아의 대표적인 관현악단인 빈 필하모닉 오케스트라가 매년 1월 1일 정오에 빈 음악협회 대강당에서 개최하는 음악회로, 정식 명칭은 빈 필하모닉 오케스트라 신년음악회(Neujahrskonzert der Wiener Philharmoniker)입니다.   빈필하모닉 오케스트라 2014년 신년음악회의 지휘자는  '다니엘 바렌보임’입니다. 2009년에 이어 2번째로 신년음악회의 지휘자로 선정되어 2014년 1월1일 기품있고 섬세한 음악을 들려 줄 예정입니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,122407,2014 소치 동계올림픽 특집 - 고마워요 김연아,다큐멘터리,,,2014 소치 동계올림픽 김연아를 주인공으로 한 다큐멘터리,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
