year,code,title,genre,directors,actors,story,,,,,,,,,,,,,,,,,,,,
2015,142617,I'm 김소정 시즌2,,,김소정,지난 1년간 무대 위에서 멋진 모습을 보여주기 위해 끊임없이 노력한 김소정!  몸과 마음이 지쳐있는 상태에서 갑작스럽게 찾아온 꿀 같은 여름휴가!  동양의 하와이, 중국 최대의 섬 하이난에서 펼쳐지는 그녀의 리얼 여행기  첫날부터 시작되는 거침없는 소정의 먹방부터   짜릿한 해양 스포츠 정복까지 모두 공개된다!  하이난에서도 음악적 열정을 주체 못 하고 급기야 버스킹을 감행하는 그녀  과연 김소정의 즉석 공연은 성공적으로 마무리될 수 있을까?,,,,,,,,,,,,,,,,,,,
2015,127351,K 미싱 킹즈,애니메이션,스즈키 신고,나미카와 다이스케, 오노 다이스케, 스기타 토모카즈,네 명의 왕들이 혈투를 벌인 '학교섬 사건' 이후 자취를 감춘 백은의 왕 시로와 목숨을 잃은 적색 왕 미코토. 쿠로와 네코는 시로를 찾아 헤매지만 흔적조차 발견하지 못하고, 왕을 잃은 적색 클랜 호무라 조직원들은 뿔뿔이 흩어져 버린다.   한편 이러한 혼란 속에 황금색 왕의 영토인 미하시라 타워를 기습 점거한 녹색왕의 부대는 무슨 영문인지 적색 클랜의 소녀 안나까지 납치해간다. 안나를 구하기 위해 적색 클랜과 힘을 합친 쿠로와 네코는 녹색 클랜의 어두운 계획을 밝히려 나서고 청색왕은 병력을 긴급 출동시켜 미하시라 타워를 포위하지만, 다른 왕의 영토인 만큼 섣불리 나서지 않고 일단 상황을 예의 주시하기로 한다. 그런데 어찌 된 영문인지 황금색왕은 자신의 영토에 속한 타워가 점거 당했는데도 아무런 반격을 하지 않는데…..,,,,,,,,,,,,,,,,
2015,143518,K-POP슈퍼콘서트,,,김성주, 유리, 티파니,2015 DMC 페스티벌 “K-ICT와 함께 하는 K-POP 슈퍼 콘서트” 는 ‘2015 DMC 페스티벌’ 의 시작을 알리는 그랜드 오프닝 쇼로  한국을 대표하는 K-POP 가수들의 다양한 무대를 통해 新 한류의 중심인 상암 DMC를 알림과 동시에 축제의 서막을 연다.,,,,,,,,,,,,,,,,,,
2015,133117,KBS 다큐 1,,,,경제, 사회, 역사, 자연, 문화, 인물, 환경, 과학 등 모든 분야에 걸쳐 시대적 과제와 지식정보, 감동과 즐거움을 전하는 공영방송 최고의 다큐멘터리 프로그램,,,,,,,,,,,,
2015,136963,KBS 드라마 스페셜 2015,드라마,,,다양하고 완성도 있는 이야기로 제작된 단편드라마를 담은 프로그램,,,,,,,,,,,,,,,,,,,,
2015,140138,MAPS,,,최강희, 유리, 희철,시속 40km 이하로 달리는 거리뷰 차량을 타고 나만의 여행지도를 만들어 가는 남남 여여 커플. 느리게 달리는 여행을 통해 바쁜 일상 속에서 미처 보지 못했던 것을 새롭게 발견하는 프로그램,,,,,,,,,,,,,,,,,,
2015,129346,MISS 맘마미아,,김종창,강별, 한고은, 서도영,과거가 있는 네 여자의 사랑과 연애에 관한 유쾌한 수다와 인생분투기를 그린 로맨틱 멜로드라마로, 네 여자를 둘러싼 두 남자, 진실된 사랑을 꿈꾸는 연애초보남과 사랑을 버려야 했던 연애사냥꾼의 좌충우돌 사랑찾기를 그린 이야기,,,,,,,,,,,,,,,,
2015,143100,NEW 스타킹,,,강호동, 이특,놀라운 사람, 놀라운 사연, 놀라운 동영상 중 매주 최고를 뽑는 프로그램,,,,,,,,,,,,,,,,,
2015,140109,SMTOWN THE STAGE,다큐멘터리,배성상,강타, 보아, 동방신기,SM엔터테인먼트의 글로벌 공연 SM타운라이브 무대의 감동과 실황, 가수들의 비하인드 스토리를 담은 다큐멘터리 영화.,,,,,,,,,,,,,,,,,
2015,136316,SNL 코리아 6,,,신동엽, 유세윤, 정성호,대한민국에 단 하나, '뭘 좀 아는 어른들'의 생방송 코미디. SNL 오감을 자극하는 감성 코미디로 돌아왔다. 더 솔직하게, 더 유쾌하게, 재미있는 건 토요일 밤에 다 모였다. 한국 코미디의 계속되는 진화 'SATURDAY NIGHT LIVE',,,,,,,,,,,,,,,
2015,136657,Thank you 리틀빅 히어로,,,,작은 영웅들을 위한 아주 특별한 시상식이 온다!  '나 살기도 힘든데 누굴 도와?'라는 말이 어색하지 않은 사회.  이 각박한 세상 속에서도 누군가를 도우며 살아가는 리틀 히어로들이 있습니다.    패널티킥, 농구, 도서관, 농사, 약속...  상상치도 못한 선행으로 세상을 바꾸는 33팀의 리틀 히어로!  이들을 위한 특별한 시상식이 찾아옵니다.,,,,,,,,,,,,,,,,
2015,142816,THE 프렌즈 in 크로아티아,,,장혁, 신승환, 최기섭,거기," 유럽 여행을 꿈꾸는 당신! 지금 ""더 프렌즈"" 를 보라!  우정여행을 꿈꾸는 남자들의 환상과 유럽여행을 갈망하는 여자들의 로망을   한 번에 풀어줄 ""더 프렌즈 in 크로아티아""",,,,,,,,,,,,,,,,,
2015,143053,TOP 밴드 3,,,신대철, 윤일상, 장미여관,대한민국 최고의 밴드를 가리는 서바이벌 프로그램,,,,,,,,,,,,,,,,,,
2015,135811,TV소설 그래도 푸르른 날에,,어수선,송하윤, 이해우, 정이연,1970년대 격동의 시기를 배경으로 한 여인의 성장기를 그린 드라마,,,,,,,,,,,,,,,,,,
2015,141860,TV소설 별이 되어 빛나리,,,고원희, 이하율, 차도진,1960년대를 배경으로 아버지의 죽음과 가문의 몰락 후 해방촌으로 흘러들어온 조봉희가 거친 삶을 헤쳐나가며 대한민국 최고의 패션 디자이너로 성공하는 과정을 그린 드라마,,,,,,,,,,,,,,,,,,
2015,141735,VENUS PROJECT,애니메이션, 드라마,나카야마 타케히로,하타 사와코, 이이다 리호, 하야세 마리카,지금보다 시간이 흘러," 정보단말기나 영상기술이 고도로 발달중인 세계. 사람들은 새로운 엔터테인먼트에 열광한다. ""FORMULA VENUS (포뮬러 비너스)"".  통칭 ""F-V""로 불리는 이 엔터테인먼트는 선택받은 톱 아이돌이 자신의 힘과 재능과 쌓아온 모든 경험을 살려 퍼포먼스를 겨루는 라이브 배틀이다.   이 이야기는 『VENUS PROJECT』로 향하는 티켓을 가진 소녀들이 아이돌 최고봉을 목표로", 격렬한 전쟁에 몸을 던지고, 열심히 노력하고 친구와 우정을 쌓으며 승리를 목표로 하는 모습을 드라마화했다,,,,,,,,,,,,,,
2015,136027,VIXX의 어느 멋진 날,,,빅스,데뷔부터 지금까지 빅스에게 남다른 의미가 있는 제주도에서 멤버 6명이 함께하는 데뷔 후 첫 여행이 펼쳐진다!,,,,,,,,,,,,,,,,,,,,
