year,code,title,genre,directors,actors,story,,,,,,,,,,,,,,,
2013,98146,감시자들,범죄, 액션, 스릴러,조의석, 김병서,설경구, 정우성, 한효주,범죄 대상에 대한 감시만을 전문적으로 담당하는 경찰 내 특수조직 감시반.  동물적인 직감과 본능으로 범죄를 쫓는 감시 전문가 ‘황반장’(설경구)이 이끄는 감시반에  탁월한 기억력과 관찰력을 지닌 신참 ‘하윤주’(한효주)가 합류한다.  그리고 얼마 후 감시반의 철저한 포위망마저 무용지물로 만든 범죄가 벌어진다.  단 3분만에 한 치의 실수도 없이 벌어진 무장강도사건.  얼굴도, 단서도 남기지 않은 그들의 존재에 모든 시선이 꽂힌다.   철저하게 짜여진 계획 하에 움직이며 1초의 오차도 용납하지 않는 범죄 조직의 리더 ‘제임스’(정우성).  자신의 존재를 절대 드러내지 않는 그는 감시반의 추적이 조여올수록 더욱 치밀하게 범죄를 이어간다.  더 이상의 범죄를 막기 위해 반드시 놈의 실체를 알아내야만 하는 감시반.  황반장과 하윤주는 모든 기억과 단서를 동원해 놈을 쫓기 시작하는데...,,,,,,,,,
2013,109779,감자별 2013QR3,드라마,김병욱, 조찬주,이순재, 노주현, 금보라,2013년 어느 날 지구로 날아온 의문의 행성 '감자별' 때문에 벌어지는 노씨 일가의 좌충우돌 멘붕 스토리를 담은 일일시트콤,,,,,,,,,,,,
2013,130211,강적들,,,강용석, 김갑수, 김성경,대한민국 최강! 센 캐릭터들이 한자리에 모였다.  1개의 사건, 다양한 시선으로 바라본 시사 비하인드 쇼!  진보한 시사는 박수받지만 진부한 시사는 외면받는다. 서로 코드가 맞지 않는 강적들이 뭉쳤다. 고품격과 저품격 사이의 아슬아슬한 시사 쇼!  센 캐릭터들의 아주 주관적 현상 분석 강적들의 시선을 따라가면, 대한민국이 보인다.,,,,,,,,,,,
2013,87216,개구쟁이 스머프 2,애니메이션, 가족,라자 고스넬,크리스티나 리치, 닐 패트릭 해리스, 알란 커밍,프랑스 파리의 스타 마법사가 된 ‘가가멜’. 하지만 마법 약발이 떨어지기 시작하자 그가 만들어낸 말썽쟁이 스머프 ‘벡시’ &amp; ‘해커스’와 함께 유일하게 “마법의 스머프 묘약”을 만들어 낼 줄 아는 ‘스머페트’를 납치한다!! ‘가가멜’에게 납치당한 ‘스머페트’를 구하기 위해 다시 한번 인간세상으로 여행을 떠나는 ‘파파 스머프’와 스머프들. 난생처음 와보는 낭만의 도시 파리에서 스머프들의 스릴만점, 파란만장한 모험이 펼쳐지는데… 한편, 스머프들이 ‘스머페트’를 구해내기 위해 고군분투하는 사이, 천사같이 착하기만 했던 ‘스머페트’는 사악한 ‘가가멜’ 일당과 어울리면서 점점 변하기 시작하고…  과연, ‘스머페트’는 무사히 스머프 마을로 돌아올 수 있을까?,,,,,,,,
2013,99352,개똥이,드라마,김병준,송재하, 이은경, 이설구,높은 빌딩들이 치솟은 도심 속에 아직 허물어지지 않은 산동네. 이 허름한 동네에 12년째 신발 공장 노동자로 살아가고 있는 개똥이가 있다. 아무도 원치 않게 세상에 태어난 그는 늘 구박받고 버림받는 삶 속에서 그 흔한 친구도, 학교란 곳을 다녀 보지도 못한 채 현대판 '원시인'으로 살아가고 있다. 그러던 그에게 어느 날 선주가 찾아온다. 말끝마다 걸걸한 욕이 전부이고, 예쁜 구석 하나 없지만 언제나 개똥이에게 따뜻한 손길을 내미는 그녀. 선주에 대한 마음이 깊어질수록 개똥이는 자신을 그림자처럼 따라다니는 어릴 적 끔찍한 기억에 괴로워한다. 과연, 그 시절 개똥이에게는 무슨 일이 있었던 걸까?,,,,,,,,,,
2013,83244,갬빗,범죄, 코미디,마이클 호프만,콜린 퍼스, 카메론 디아즈, 앨런 릭먼,2차 세계대전, 인상파 거장 모네의 ‘건초더미, 황혼’이 사라지고,  이후 이 작품은 세계 미술역사상 최고의 미스터리로 남는다.  이 미스터리로 희대의 사기극을 설계한 해리 딘(콜린 퍼스). 치밀한 작전을 위해 배짱 넘치는 위조 전문 화가(톰 커트니)와 2차 세계대전 당시 그림의 행방과 관련된 장교의 손녀 PJ(카메론 디아즈)까지 섭외한다. 이들의 작전으로 행방이 묘연했던 모네의 ‘건초더미, 황혼’이 정체를 드러내고, 이에 글로벌 미디어 재벌이자 명작 수집광 샤번다(알란 릭맨)와 감정사 마틴(스탠리 투치)이 그들에게 접근하는데…   위조된 걸작, 완벽한 계획 진짜는 이제부터다!,,,,,,
2013,117272,,,,,,,,,,,,,,,,,,,,
2013,117298,건,액션, 범죄, 스릴러,제시 테레로,50 센트,디트로이트의 한 스트립 클럽에서 대형 총기난사사건이 벌어진다. 무기거래를 둘러싼 이권을 놓고 리치(50센트)와 알리 일당이 맞붙은 것. 디트로이트 경찰국은 총기거래조직을 일망타진 하기 위해 한 때 리치와 같은 조직에 몸담았던 앤젤(발 킬머)을 스파이로 침투시키고 포위망을 좁혀 나간다. 앤젤은 리치에게 점점 신임을 얻게 되는 한편 서서히 자신을 둘러싼 의심에 불안을 느끼게 되는데…,,,,,,,,,,,,,
2013,116934,겟 잇 스타일 시즌1,,,강승현, 오제형, 황소희,나만의 스타일을 찾아가는 모던걸이 등장해 새로운 형식의 인터렉티브한 스타일 쇼를 선보이는 프로그램,,,,,,,,,,,,,
2013,116935,겟 잇 스타일 시즌2,,,강승현, 오제형, 장민영,스타일의 답은 있다! 매 회 2013 F/W의 트렌드 분석과 아이템 선정을 통해 시청자의 선택을 돕는 퍼스널 쇼핑 프로그램,,,,,,,,,,,,,
